Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Profile,Done,Tate Martin,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),,Edit Profile Mode (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Edit%20Profile%20Mode%20eda00cd8354e46febe56afa38a5a819b.csv)
Edit Profile Mode,Done,Caleb Early,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),Profile (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Profile%20397b5d0556654250b757eb74b5e37b0d.csv),
Create Contest,Done,Caleb Early,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),,
View Contest,Done,Caleb Early,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),,"Core Page Layout (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Core%20Page%20Layout%20c318aa803057494aa8148b619cf86965.csv), Leaderboard (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Leaderboard%20dd7cda071f094c40980a4b0e8af5d6b3.csv), Title and Description (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Title%20and%20Description%20e04dda42700f4bb085f057d0e2d3ada9.csv), Participant List (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Participant%20List%207a004141a5964654b26ff1efa6d85e9f.csv), Available Mission List (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Available%20Mission%20List%204c592e25ba204d57b52c3cb6dabd965d.csv)"
Leaderboard,Done,,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),View Contest (Tasks%203cedf6b06b594c01bf3f3aa538d60459/View%20Contest%20cd246d1c7b46459a9545ffb1337a45ef.csv),
Title and Description,Done,,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),View Contest (Tasks%203cedf6b06b594c01bf3f3aa538d60459/View%20Contest%20cd246d1c7b46459a9545ffb1337a45ef.csv),
Participant List,Done,,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),View Contest (Tasks%203cedf6b06b594c01bf3f3aa538d60459/View%20Contest%20cd246d1c7b46459a9545ffb1337a45ef.csv),
Available Mission List,Done,,"June 26, 2023",,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),View Contest (Tasks%203cedf6b06b594c01bf3f3aa538d60459/View%20Contest%20cd246d1c7b46459a9545ffb1337a45ef.csv),
Core Page Layout,Done,Caleb Early,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),View Contest (Tasks%203cedf6b06b594c01bf3f3aa538d60459/View%20Contest%20cd246d1c7b46459a9545ffb1337a45ef.csv),
Search Contests,Done,Caleb Early,,,,2 - May 15 - May 29 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/2%20-%20May%2015%20-%20May%2029%2001e055e8dccc4a73b5dd8e3aaee2cbad.csv),,
